#  longitude, latitude (or opposite), vx_mps
-3.436105703602706368e-02,3.963568687012546832e+01,9.080013527721936484e+00
-3.437710994329191277e-02,3.963569872839366326e+01,9.736760767795757943e+00
-3.439400494038431788e-02,3.963570999109713000e+01,1.075826481043942273e+01
-3.441071115610865039e-02,3.963572124675206254e+01,1.168861590778471715e+01
-3.442771581031571493e-02,3.963573223443857074e+01,1.254811065788262070e+01
-3.444494044014496936e-02,3.963574300311044851e+01,1.335044604657778322e+01
-3.446226251737705831e-02,3.963575365767561465e+01,1.410538398547985572e+01
-3.447961456863504748e-02,3.963576426118430618e+01,1.482017387960577004e+01
-3.449697410490783905e-02,3.963577486152432527e+01,1.550037509818597670e+01
-3.451434405713340453e-02,3.963578547507739813e+01,1.615036251461549810e+01
-3.453169756234695381e-02,3.963579607511114489e+01,1.677365272964034304e+01
-3.454906328777061775e-02,3.963580668080432901e+01,1.737312309437796287e+01
-3.456643750993734082e-02,3.963581729142740073e+01,1.795116368794905526e+01
-3.458380167533626343e-02,3.963582789563410103e+01,1.850978575232841195e+01
-3.460116661274462851e-02,3.963583850031563571e+01,1.905070092872232124e+01
-3.461852814129697670e-02,3.963584910299152142e+01,1.957538036810110071e+01
-3.463589228911529566e-02,3.963585970724673757e+01,2.008509963354606498e+01
-3.465325660843307509e-02,3.963587031157977947e+01,2.058097335919827842e+01
-3.467061855322277342e-02,3.963588091442403538e+01,2.106398238566453074e+01
-3.468798337987016867e-02,3.963589151896240281e+01,2.153499527721278639e+01
-3.470534792750625680e-02,3.963590212324366746e+01,2.199478558071398737e+01
-3.472270918573271137e-02,3.963591272540033827e+01,2.244404581349172290e+01
-3.474007444204625650e-02,3.963592332986320343e+01,2.288339890762275175e+01
-3.475743690900416627e-02,3.963593393252320141e+01,2.331340765435453477e+01
-3.477479963608148122e-02,3.963594453529378114e+01,2.373458256005930167e+01
-3.479216350449448880e-02,3.963595513875386445e+01,2.414738842868671398e+01
-3.480952740756311503e-02,3.963596574222444247e+01,2.455224991441229676e+01
-3.482689089363830148e-02,3.963597634542691850e+01,2.494955623489832419e+01
-3.484425479309424117e-02,3.963598694887224383e+01,2.533966519531076500e+01
-3.486161857000164011e-02,3.963599755223390275e+01,2.572290664248385639e+01
-3.487898217913868587e-02,3.963600815548504386e+01,2.609958544491940557e+01
-3.489634605834154163e-02,3.963601875889406045e+01,2.646998407587419422e+01
-3.491370983448543325e-02,3.963602936223408335e+01,2.683436486233607710e+01
-3.493107351612134703e-02,3.963603996551055531e+01,2.719297195126976163e+01
-3.494843736854767041e-02,3.963605056888612665e+01,2.754603303542521431e+01
-3.496580114941756634e-02,3.963606117221551273e+01,2.789376087371969248e+01
-3.498316489668015783e-02,3.963607177551695315e+01,2.823635463533224410e+01
-3.500052872302955587e-02,3.963608237885939900e+01,2.857400109188542814e+01
-3.501789249641079627e-02,3.963609298219386545e+01,2.890687567820198822e+01
-3.503525631777479332e-02,3.963610358550765511e+01,2.923514343893540257e+01
-3.505262090116877116e-02,3.963611418792351770e+01,2.955895987574390205e+01
-3.506998900717980122e-02,3.963612478630555103e+01,2.987847170749893877e+01
-3.508736182707136719e-02,3.963613537942715936e+01,3.019381755420561930e+01
-3.510473800777354908e-02,3.963614596852264071e+01,3.050512855379633237e+01
-3.512211475390256132e-02,3.963615655703322460e+01,3.081252891968574303e+01
-3.513949110989599001e-02,3.963616714619494275e+01,3.111613644590222805e+01
-3.515686742664794751e-02,3.963617773512279285e+01,3.141606296570276058e+01
-3.517424384576885860e-02,3.963618832404434755e+01,3.171241476880690868e+01
-3.519162033544732254e-02,3.963619891306665721e+01,3.200529298172848058e+01
-3.520899667404855243e-02,3.963620950197535819e+01,3.229479391512119690e+01
-3.522637306871530954e-02,3.963622009093305110e+01,3.258100938157252102e+01
-3.524374959256047074e-02,3.963623067993172810e+01,3.286402698686502077e+01
-3.526112597530220438e-02,3.963624126879637544e+01,3.314393039736629021e+01
-3.527850224122907469e-02,3.963625185791237016e+01,3.342079958589867772e+01
-3.529587892157167589e-02,3.963626244674477306e+01,3.369471105817092393e+01
-3.531325673440009055e-02,3.963627303398156698e+01,3.396573806161972442e+01
-3.533063647943058411e-02,3.963628361912506648e+01,3.423395077830504363e+01
-3.534801826032530486e-02,3.963629420212583909e+01,3.449941650332427656e+01
-3.536540154346284881e-02,3.963630478310489735e+01,3.476219981005391446e+01
-3.538278640444159073e-02,3.963631536239728348e+01,3.502236270338960367e+01
-3.540017285083559700e-02,3.963632594006179488e+01,3.527996476203453113e+01
-3.541756046482769094e-02,3.963633651608387254e+01,3.553506327077901261e+01
-3.543494870032905253e-02,3.963634709151708790e+01,3.578771334361971412e+01
-3.545233711290275008e-02,3.963635766693884221e+01,3.603796803848312180e+01
-3.546972534220563245e-02,3.963636824226315269e+01,3.628577396419347423e+01
-3.548711364313773819e-02,3.963637881763304449e+01,3.653060908080449565e+01
-3.550450205844534607e-02,3.963638939306208187e+01,3.677254399601665114e+01
-3.552189029926849234e-02,3.963639996838175961e+01,3.701164655991116348e+01
-3.553927861660278326e-02,3.963641054374394912e+01,3.724798201467947223e+01
-3.555666704461989125e-02,3.963642111916849586e+01,3.748161313402820838e+01
-3.557405529801428712e-02,3.963643169448238268e+01,3.771260035311776448e+01
-3.559144362958156782e-02,3.963644226983929997e+01,3.794100188980948474e+01
-3.560883207102546327e-02,3.963645284525848922e+01,3.816687385792263143e+01
-3.562622033694965579e-02,3.963646342056645011e+01,3.839027037313618962e+01
-3.564360868252449549e-02,3.963647399591833675e+01,3.861124365211189513e+01
-3.566099713746507388e-02,3.963648457133232483e+01,3.882984410536212749e+01
-3.567838541556053733e-02,3.963649514663438822e+01,3.904612042433910091e+01
-3.569577377509390581e-02,3.963650572198115185e+01,3.926011966317952329e+01
-3.571316224348783375e-02,3.963651629739041482e+01,3.947188731550077989e+01
-3.573055053273457848e-02,3.963652687268731256e+01,3.968146738661047124e+01
-3.574793890791923279e-02,3.963653744802643075e+01,3.988890246146022633e+01
-3.576532738811036977e-02,3.963654802343397421e+01,4.009423376864690169e+01
-3.578271568054440521e-02,3.963655859873550469e+01,4.029761801124746512e+01
-3.580010409993133330e-02,3.963656917402954605e+01,4.049922614431121559e+01
-3.581749256652073943e-02,3.963657974946871576e+01,4.069908861678461420e+01
-3.583488075433144404e-02,3.963659032490869549e+01,4.089723500899572173e+01
-3.585226971306170601e-02,3.963660089956427868e+01,4.109369406741249975e+01
-3.586965947612894001e-02,3.963661147354598313e+01,4.128849373762476915e+01
-3.588704893817772079e-02,3.963662204755955543e+01,4.148166119565976118e+01
-3.590443864218738346e-02,3.963663262180882896e+01,4.167322287773329492e+01
-3.592182805409836061e-02,3.963664319580200157e+01,4.186320450853114039e+01
-3.593921790101133051e-02,3.963665377007474433e+01,4.205163112810856063e+01
-3.595660747124623802e-02,3.963666434416192175e+01,4.223852711748989464e+01
-3.597399663363928801e-02,3.963667491802026888e+01,4.242391622304421617e+01
-3.599138650294746861e-02,3.963668549235146088e+01,4.260782157970803041e+01
-3.600877621367180176e-02,3.963669606630205067e+01,4.279026573312113157e+01
-3.602616524472161685e-02,3.963670664023379686e+01,4.297127066073724677e+01
-3.604355474407038018e-02,3.963671721509700774e+01,4.315085779196702020e+01
-3.606094634893030476e-02,3.963672778687641340e+01,4.332904802740717543e+01
-3.607834039732327192e-02,3.963673835497018416e+01,4.350586175720611948e+01
-3.609573618880662638e-02,3.963674892271257022e+01,4.368131887861294871e+01
-3.611313162075471123e-02,3.963675949010402633e+01,4.373862573420562683e+01
-3.613052644775727185e-02,3.963677005722945523e+01,4.313343066594732278e+01
-3.614792231486364804e-02,3.963678062496772725e+01,4.252108499966799116e+01
-3.616531771361704978e-02,3.963679119240740789e+01,4.190137134047860457e+01
-3.618271251402823546e-02,3.963680175950211293e+01,4.127397507395613729e+01
-3.620010839501024841e-02,3.963681232727042669e+01,4.063856624387977945e+01
-3.621750384601619271e-02,3.963682289470143161e+01,3.999473047128388004e+01
-3.623489857113774276e-02,3.963683346181703371e+01,3.934284268923681083e+01
-3.625229426984142439e-02,3.963684402972779708e+01,3.868289151942784798e+01
-3.626969026110651168e-02,3.963685459668565159e+01,3.801331883140917967e+01
-3.628708459221231114e-02,3.963686516427679152e+01,3.734437942614198391e+01
-3.630447940586773586e-02,3.963687573483389315e+01,3.668234535419732367e+01
-3.632188365218479847e-02,3.963688629278314579e+01,3.603227382577750149e+01
-3.633930446899365230e-02,3.963689682779629919e+01,3.537497340587350436e+01
-3.635674927987133515e-02,3.963690734056719123e+01,3.471150194510722997e+01
-3.637421588541447232e-02,3.963691782529384966e+01,3.405133522866290718e+01
-3.639171113076535707e-02,3.963692827512230110e+01,3.339991578822697704e+01
-3.640924170006940019e-02,3.963693868677564325e+01,3.273573189558140939e+01
-3.642678918841635999e-02,3.963694907634646825e+01,3.200195773891775985e+01
-3.644433711122455066e-02,3.963695946590443242e+01,3.123920580089748711e+01
-3.646188049971139933e-02,3.963696986067593997e+01,3.050408823073440345e+01
-3.647945734254254974e-02,3.963698021984771458e+01,2.979865730305131777e+01
-3.649708389625768573e-02,3.963699051529298600e+01,2.907613130629432519e+01
-3.651477179258597744e-02,3.963700074632576786e+01,2.837094761318909875e+01
-3.653252852468473477e-02,3.963701088957942176e+01,2.766978606969462717e+01
